"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3227793",-1.098025,-3.5912875,-6.92515180506332,0.000123645170089539,0.999941966154906,-3.44351216694703,"CGREF1"
"A_33_P3348046",0.5786825,0.69700625,5.72449202663918,0.000448013770194782,0.999941966154906,-3.53836303725266,""
"A_23_P127406",-0.58686,-0.8895575,-5.03489904172613,0.00101976094776636,0.999941966154906,-3.61466959014211,"KDM4D"
"A_33_P3244643",1.4861,-3.556825,4.71241820164604,0.00153282065020405,0.999941966154906,-3.65773621199137,"FAM183A"
"A_33_P3378614",-0.60023025,0.355437375,-4.55611495398196,0.00187777186880371,0.999941966154906,-3.68058909780768,"UG0898H09"
"A_33_P3242798",-0.4285,-8.57105,-4.43778652512413,0.00219490623971444,0.999941966154906,-3.69881845276317,"CPS1"
"A_33_P3210605",-0.59013,-0.08708,-4.43099656458595,0.00221478816509542,0.999941966154906,-3.69988965607226,""
"A_33_P3269919",-0.5225925,0.63660375,-4.3733516982653,0.00239165791091281,0.999941966154906,-3.70909641255539,"C1orf129"
"A_32_P163805",-0.98303825,-0.222774125,-4.37138149095793,0.00239796730501199,0.999941966154906,-3.70941467244314,"LINC00301"
"A_33_P3289621",-1.1225275,1.46821125,-4.3514022765167,0.00246297644767557,0.999941966154906,-3.71265556735479,"LOC283143"
"A_33_P3222056",0.4641375,-0.56657625,4.33959195979115,0.00250230058956301,0.999941966154906,-3.7145829874978,""
"A_33_P3324186",-0.4296725,0.47090875,-4.33637241376431,0.00251313801148604,0.999941966154906,-3.71510991623349,"LOC642366"
"A_33_P3235454",0.3975485,-0.00207825000000001,4.20935856481346,0.00298394776812017,0.999941966154906,-3.73642114276845,""
"A_33_P3395581",-0.408915,0.5565025,-4.19988590975387,0.00302269599020201,0.999941966154906,-3.73805212354046,"TRIM53P"
"A_23_P5018",1.125135,-1.4751825,4.18070368906613,0.00310283530991209,0.999941966154906,-3.74137288404372,"LOC80054"
"A_33_P3343715",-0.5406475,0.84635125,-4.17477477515971,0.00312806666956493,0.999941966154906,-3.74240417454419,"EMX1"
"A_23_P125082",-0.593625,2.3870125,-4.15646709556544,0.00320738484813263,0.999941966154906,-3.74560332737201,"IRF2"
"A_33_P3336347",0.48883325,-0.294280875,4.14619048115803,0.00325285687721118,0.999941966154906,-3.74740885054455,""
"A_33_P3403153",-0.65014525,0.023245125,-4.12905323880829,0.00333023945287709,0.999941966154906,-3.75043540664568,"C1QTNF2"
"A_33_P3258472",-0.34670375,0.303560625,-4.09292155822582,0.00349997125383023,0.999941966154906,-3.75688118232796,"SPTBN1"
