"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3333523",-0.76955,-1.61925,-7.45509031715928,6.76678947062796e-05,0.831386065936911,-3.46063645395818,""
"A_23_P137366",-1.7224245,1.16213775,-7.38420853527296,7.24608143105316e-05,0.831386065936911,-3.46432644266257,"C1QB"
"A_24_P252497",-1.540725,-3.8377125,-7.16948545351709,8.94316109509388e-05,0.831386065936911,-3.47603913785891,"TRIB1"
"A_23_P101992",-2.132675,2.0226875,-6.76917347003294,0.000134128747634302,0.935179160693264,-3.50023288917499,"MARCO"
"A_24_P321766",0.895200000000002,-6.190975,6.49536181495947,0.000178805462062868,0.951909218462679,-3.51877821925746,"SERPINA5"
"A_23_P149529",1.253325,-6.0727625,6.2610676169566,0.00023027051564285,0.951909218462679,-3.53610671569076,"TACSTD2"
"A_33_P3329088",0.761075000000002,-6.1787625,6.2089405615363,0.000243820426907109,0.951909218462679,-3.54015991177025,"PRSS8"
"A_24_P190472",0.756475,-3.8024625,5.81099186750671,0.00038149442639776,0.951909218462679,-3.57371747764425,"SLPI"
"A_24_P613108",-0.87558,0.8008475,-5.74470320287549,0.000411839592013126,0.951909218462679,-3.5797905101934,"LOC100507096"
"A_33_P3310718",1.0374325,0.21956375,5.66544382319113,0.000451648749130324,0.951909218462679,-3.58724722708869,"HSP90AB4P"
"A_23_P47565",-0.613725000000001,-2.4224125,-5.64862469278681,0.000460628481097645,0.951909218462679,-3.58885756948128,"LDHA"
"A_23_P339588",1.312525,4.1475375,5.59041886979643,0.000493248619658847,0.951909218462679,-3.59450779342366,"TAGAP"
"A_33_P3340385",1.124215325,-0.4953973375,5.49256661172371,0.000553944287801519,0.951909218462679,-3.60428369647076,"ZNF43"
"A_33_P3292886",0.7980825,0.91345875,5.48898506636544,0.000556315900366193,0.951909218462679,-3.60464825058073,"KRT6A"
"A_23_P33326",1.172425,-3.6266625,5.4607168388986,0.000575429486163805,0.951909218462679,-3.60754259518381,"ADRA1B"
"A_23_P217269",-1.4231625,1.83246875,-5.4357598494358,0.000592902887838554,0.951909218462679,-3.61012320612874,"VSIG4"
"A_33_P3231908",0.9940375,-1.15550625,5.2583334764745,0.000735216672187371,0.951909218462679,-3.6291759391767,"POU3F3"
"A_23_P82762",0.7307345,0.56887775,5.15220760332645,0.000837933754635321,0.951909218462679,-3.64119022162723,"ZNF596"
"A_24_P146683",1.44923,-1.72536,5.12328016866061,0.000868580084600508,0.951909218462679,-3.64454880907933,"MSMB"
"A_33_P3356007",1.0941025,0.17842625,5.07857977253369,0.000918369352949928,0.951909218462679,-3.64981103947089,"ALOX5"
"A_24_P345846",0.9777,1.962025,4.99688077410726,0.00101760817824323,0.951909218462679,-3.65966070356309,"ANTXR2"
"A_33_P3304065",-0.7143175,0.12783125,-4.98066576115959,0.0010386624700565,0.951909218462679,-3.66165194207235,"AQP2"
"A_33_P3213086",-0.6724875,-0.75503625,-4.97166185505401,0.00105055817217216,0.951909218462679,-3.66276291588836,""
"A_23_P41629",0.5731575,0.08326625,4.9669158645135,0.00105688812150881,0.951909218462679,-3.66335003616576,"ADAMTS16"
"A_23_P55632",1.6627825,-1.12510875,4.94824353259904,0.00108219866955006,0.951909218462679,-3.66567020998849,"SERPINB3"
"A_24_P366607",1.30036575,0.554964625,4.94614783111869,0.00108508037779399,0.951909218462679,-3.66593163938688,"SERTM1"
"A_23_P7582",0.6683575,0.84882125,4.9444083790126,0.00108747857155009,0.951909218462679,-3.66614878556969,"TCF7"
"A_33_P3330761",0.93547,0.3652425,4.85781801491607,0.00121447726821053,0.951909218462679,-3.67714094706782,""
"A_23_P365738",0.90076,-1.79407,4.80787533897316,0.00129500221620897,0.951909218462679,-3.68364671099821,"ARC"
"A_33_P3745020",0.7358325,0.95488375,4.79132650281059,0.00132295114796742,0.951909218462679,-3.68582974935134,"LOC100126584"
"A_23_P91278",0.897999999999999,2.086325,4.75923791629642,0.00137903178550692,0.951909218462679,-3.69010195890838,"NFATC2"
"A_23_P211141",0.6897,-3.76635,4.72692429677693,0.00143812645903003,0.951909218462679,-3.69445702383032,"DSCAM"
"A_33_P3305763",-0.711915,0.781695,-4.71632885206992,0.00145809775165893,0.951909218462679,-3.69589669419858,""
"A_33_P3246133",1.04954525,-0.646289875,4.70573038931132,0.0014783764622834,0.951909218462679,-3.69734258119568,"HPCA"
"A_32_P46840",-0.867350000000001,-2.291175,-4.64619001246942,0.00159814348356684,0.951909218462679,-3.7055744302261,"LOC729680"
"A_23_P417821",0.8925075,0.15124875,4.64334810243623,0.00160411750421345,0.951909218462679,-3.7059720187404,"DMRTB1"
"A_23_P1320",0.78085875,0.462395625,4.57026906480859,0.00176636942665966,0.951909218462679,-3.71634483024599,"MYOZ1"
"A_23_P351757",0.575125,-1.6192625,4.56286067735688,0.00178378557162133,0.951909218462679,-3.71741255086917,"PLCD3"
"A_33_P3269570",0.5449125,0.96769625,4.55765120130238,0.00179614378295554,0.951909218462679,-3.71816516021365,"CD160"
"A_33_P3250671",0.71809,0.8607725,4.54032856838294,0.00183790931083166,0.951909218462679,-3.72067849522069,"TCF7"
"A_23_P151778",0.750854999999999,1.5926225,4.52776190565135,0.00186886622721272,0.951909218462679,-3.72251217578341,"CMA1"
"A_33_P3210516",-1.219815,-1.2781425,-4.51158758443631,0.00190954436982946,0.951909218462679,-3.72488520373425,"C2orf43"
"A_24_P238250",0.8320575,-1.51589625,4.50091097810742,0.00193692070279044,0.951909218462679,-3.72645964456143,"LGALS7"
"A_24_P379165",0.62816,1.092845,4.49437384974431,0.00195389239916197,0.951909218462679,-3.72742681051158,"FOXO4"
"A_33_P3379886",-1.2398,-2.94355,-4.4905459765713,0.00196390501952558,0.951909218462679,-3.72799425985977,"FGF2"
"A_23_P55270",-2.54131,1.88582,-4.48219070183477,0.00198595351464998,0.951909218462679,-3.72923572964854,"CCL18"
"A_23_P330561",-0.70937,1.429415,-4.48010960370887,0.0019914868520169,0.951909218462679,-3.72954556381571,"C19orf59"
"A_23_P386268",-1.060775,4.1791375,-4.45405682978177,0.00206218749477857,0.951909218462679,-3.73344511588171,"C4orf26"
"A_23_P136978",0.8564,-4.517425,4.42396075105181,0.00214725848041454,0.951909218462679,-3.73799819609794,"SRPX2"
"A_33_P3245228",1.15216,2.03527,4.41396053644542,0.00217635970605162,0.951909218462679,-3.73952263908197,"BPIFA1"
"A_23_P83149",0.6381,2.549975,4.40005389723924,0.00221754000866483,0.951909218462679,-3.74165223216229,"FAM108B1"
"A_24_P125335",0.57766,-0.1096225,4.37622272010842,0.00229008068317901,0.951909218462679,-3.74532787835347,"CCL13"
"A_23_P19333",-1.50108075,0.256557875,-4.36596523348903,0.00232208979425644,0.951909218462679,-3.74692023056596,"TREM1"
"A_33_P3346048",0.4865225,1.30653875,4.354899838645,0.00235716289933045,0.951909218462679,-3.7486449686996,"POM121L1P"
"A_33_P3340014",-1.192809,-0.923103,-4.34500665424245,0.00238900539465876,0.951909218462679,-3.75019314347774,"TRO"
"A_33_P3361925",0.84752675,-0.020393375,4.32400966212815,0.00245813703814413,0.951909218462679,-3.75349826649767,"PHF8"
"A_23_P41854",0.441149999999999,2.7811,4.30660409947329,0.00251708217241975,0.951909218462679,-3.75625809538795,"CARD6"
"A_33_P3403153",1.22292525,-0.263144875,4.26934880228669,0.00264844135308973,0.951909218462679,-3.76222687979946,"C1QTNF2"
"A_32_P180741",0.4669525,-0.01538875,4.22013945768929,0.00283340328505201,0.951909218462679,-3.77024110895247,"TNK2"
"A_33_P3297626",0.594981,0.012665,4.21777768826581,0.00284262378630733,0.951909218462679,-3.77062951392058,"KIAA0090"
"A_33_P3846653",0.606825000000001,-6.0501375,4.2174554172295,0.002843884458658,0.951909218462679,-3.77068253994483,"KRT19P2"
"A_23_P109488",0.933850000000001,3.363125,4.20479406998142,0.0028938935843271,0.951909218462679,-3.77277094482323,"PIK3IP1"
"A_23_P303810",-0.5407855,-0.15205225,-4.19399628569443,0.00293729098492483,0.951909218462679,-3.77455988542495,""
"A_23_P75786",-0.4346,-1.4787,-4.17552287031127,0.0030131717560068,0.951909218462679,-3.77763748297974,"SLC15A3"
"A_23_P56146",0.508657,-0.405409,4.15075625144119,0.00311823210141388,0.951909218462679,-3.78179734731548,"RAX2"
"A_33_P3221688",0.5515125,0.89575375,4.13738729399057,0.00317657649951511,0.951909218462679,-3.78405904720692,""
"A_33_P3256500",-0.8811775,-0.70186375,-4.1356537116591,0.00318422778354409,0.951909218462679,-3.78435316331034,"ATXN2"
"A_23_P140475",-0.997525,-2.6009125,-4.12856885596398,0.00321570403363851,0.951909218462679,-3.7855571667619,"NOX5"
"A_23_P75769",-2.1512,-4.83765,-4.12709045847957,0.00322231430866986,0.951909218462679,-3.78580881221125,"MS4A4A"
"A_33_P3215517",-0.5592025,0.58517125,-4.11527606788241,0.00327566750632489,0.951909218462679,-3.78782484599666,"RCC2"
"A_33_P3389286",0.358525,-5.1262625,4.08300379748993,0.00342630942801315,0.951909218462679,-3.7933778138954,"SFN"
"A_33_P3409282",0.66457625,-0.098869375,4.07139840538704,0.00348228835049846,0.951909218462679,-3.79539125885856,""
"A_33_P3360525",-0.393884,0.4123755,-4.02969602153669,0.00369169406412757,0.951909218462679,-3.80269921873256,""
"A_33_P3235701",-0.6742705,-0.54853475,-4.01110078323094,0.00378939309510563,0.951909218462679,-3.80599492799859,"ZCCHC11"
