"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P392429",0.7475370925,0.37548645375,7.29797672466073,8.46858964770901e-05,0.998051763621381,-3.17355419350118,"ZNF396"
"A_33_P3384578",0.84666,0.2107225,6.92306548696684,0.000122526996958948,0.998051763621381,-3.20172685839452,""
"A_33_P3214720",0.854174999999999,2.4177375,6.48348924720217,0.000192650799952987,0.998051763621381,-3.23957534810537,"ZC3H12A"
"A_23_P57118",0.5936875,0.84620625,6.3672118323484,0.000217954387963652,0.998051763621381,-3.25057294902828,"TGM3"
"A_23_P145724",0.601995,-0.5918825,6.24101233054873,0.00024964491858391,0.998051763621381,-3.26302104198504,"PPP1R17"
"A_23_P140362",0.8297,-3.410225,6.10470109621143,0.000289697813385614,0.998051763621381,-3.27709745393955,"VRTN"
"A_23_P119464",1.039675,-2.4066625,6.09073121039332,0.000294187426379369,0.998051763621381,-3.27857852944757,"RHPN2"
"A_24_P133253",-1.273725,-2.7158875,-5.74302981575344,0.000434811289191151,0.998051763621381,-3.31791024390437,"KITLG"
"A_33_P3389403",0.96478575,0.645599625,5.73140775957502,0.000440644968225783,0.998051763621381,-3.31931124685545,"LOC401220"
"A_23_P7313",-0.680050000000001,-7.4179,-5.57530989008975,0.00052793091596037,0.998051763621381,-3.33870922126784,"SPP1"
"A_23_P134854",1.212775,-2.5350625,5.54691234217856,0.000545766610296079,0.998051763621381,-3.34235755489257,"CLDN23"
"A_23_P203891",0.526815,0.7857675,5.45472709853906,0.000608379406300371,0.998051763621381,-3.35446411033829,"NCOR2"
"A_33_P3353027",-1.10567,-1.28649,-5.38659979213496,0.000659711780833322,0.998051763621381,-3.36367654887818,"CHN2"
"A_23_P62901",0.5244,2.457975,5.36570461436177,0.000676393383114187,0.998051763621381,-3.36654840556353,"BTG2"
"A_33_P3375413",1.1317375,1.10053125,5.32946246192084,0.000706434173599815,0.998051763621381,-3.37158203167592,"LOC100131719"
"A_33_P3410011",1.4798,2.265925,5.26954041582551,0.000759359789757395,0.998051763621381,-3.38005286646829,"PBXIP1"
"A_23_P128008",0.61854875,0.122828125,5.22245338825753,0.000803997725774806,0.998051763621381,-3.38684154675103,"CCDC81"
"A_33_P3692766",0.987675,0.5537725,5.20139834041742,0.000824880198911537,0.998051763621381,-3.38991543402819,"FLJ46066"
"A_33_P3223663",-0.92530375,-0.781323125,-5.16920434639142,0.000857966788878268,0.998051763621381,-3.3946619351316,""
"A_24_P221960",-0.83678,1.594735,-5.14848329855433,0.000880028759195181,0.998051763621381,-3.39774690829451,""
"A_23_P64280",0.88548,-1.12911,5.13752072109223,0.000891951104167362,0.998051763621381,-3.39938860771017,"LOC100130428"
"A_23_P136077",0.85285,0.4877525,4.99855030692214,0.00105941748783366,0.998051763621381,-3.42078802714702,"PARK2"
"A_23_P383422",0.942350000000001,1.909675,4.99828469648476,0.00105976873318114,0.998051763621381,-3.42082999188009,"NFKBID"
"A_33_P3256920",0.810325,0.139615,4.96866855340775,0.00109974238195637,0.998051763621381,-3.42553520134471,"WNT7B"
"A_23_P351275",-0.600863,-0.110861,-4.86359462214045,0.00125539807645813,0.998051763621381,-3.44265270301819,"UPP1"
"A_33_P3346801",0.79001,1.24592,4.84606649084465,0.00128362797813921,0.998051763621381,-3.44557388543407,"BMF"
"A_32_P101917",-1.279525,-2.1185125,-4.82859644747594,0.00131245405598988,0.998051763621381,-3.44850441985714,"LOC400550"
"A_33_P3391097",0.782645,0.1226075,4.82631539157106,0.00131626963363227,0.998051763621381,-3.44888846769376,"POLM"
"A_33_P3278205",-1.2016125,-0.49979125,-4.82437265084872,0.00131952883395956,0.998051763621381,-3.44921581280354,"LOC100499183"
"A_33_P3275000",0.7628875,0.49549625,4.81339825802086,0.00133810570055507,0.998051763621381,-3.45106941542266,"ZBTB40"
"A_33_P3605269",0.8102,-0.57476,4.79402619578995,0.00137159680796418,0.998051763621381,-3.45435995894542,"KRT8P41"
"A_33_P3339070",-1.083106,-0.989582,-4.77835944744964,0.00139934996792272,0.998051763621381,-3.45703854460524,"LOC100216001"
"A_33_P3247372",0.9396125,-1.48126875,4.76685659361177,0.00142011608957839,0.998051763621381,-3.45901519966759,"LOC400927"
"A_33_P3385453",1.32545,-2.245575,4.7601093699513,0.0014324528096888,0.998051763621381,-3.46017859520836,"BRCC3"
"A_33_P3276053",0.4388789775,-0.08643051125,4.7426543879223,0.00146491237407626,0.998051763621381,-3.46320189771165,"LIMD1"
"A_23_P109171",-0.567455,-0.77392,-4.74191557164438,0.00146630383501732,0.998051763621381,-3.46333029943983,"BFSP1"
"A_33_P3368159",-0.710825,1.7916125,-4.72400402809351,0.00150048181366407,0.998051763621381,-3.46645406441156,"SLA2"
"A_33_P3423954",0.380595,0.43913,4.68005381116447,0.00158807486920047,0.998051763621381,-3.47420796456785,"CBX2"
"A_33_P3256232",-0.598725,2.1948125,-4.67952639799806,0.00158915920276835,0.998051763621381,-3.47430178723359,"MIIP"
"A_33_P3234667",0.4241825,-0.49235875,4.64249414004922,0.00166734604466472,0.998051763621381,-3.48093590274985,"ZKSCAN1"
"A_23_P113111",-1.295975,-0.2686725,-4.63957163213755,0.00167369206671991,0.998051763621381,-3.48146336557356,"AR"
"A_33_P3418987",-1.2034155,-1.32849225,-4.62891849283461,0.00169704780332098,0.998051763621381,-3.48339095194665,"PRAMEF13"
"A_33_P3330991",0.57006,-0.4035475,4.62675404281833,0.00170183625677782,0.998051763621381,-3.48378352631512,"LOC100134237"
"A_33_P3334590",0.3942125,0.60540875,4.6231716884497,0.00170979385624431,0.998051763621381,-3.48443396823434,"MTMR10"
"A_33_P3345225",0.83682025,0.952089875,4.5976404486886,0.00176769166088146,0.998051763621381,-3.48909489351883,""
"A_32_P87013",0.815937499999999,1.51665625,4.59602150566116,0.00177143411268204,0.998051763621381,-3.48939194364577,"IL8"
"A_33_P3282454",1.12490875,-0.082154375,4.53222531219875,0.00192598311672057,0.998051763621381,-3.50124150931519,"SLC12A1"
"A_33_P3389779",0.830595,-1.1475525,4.51893502067251,0.00195998677228639,0.998051763621381,-3.50374575176726,"WDR33"
"A_33_P3286774",0.72398775,-0.526303625,4.49994340500883,0.00200971282056243,0.998051763621381,-3.50734588461366,"PDE4DIP"
"A_23_P154855",0.93860775,0.563401125,4.48051796036812,0.00206199368073673,0.998051763621381,-3.51105472602703,"KCNE1"
"A_33_P3835524",0.5929625,1.19829375,4.44849881294607,0.00215141541343204,0.998051763621381,-3.51722697014323,"POU2F2"
"A_33_P3359869",1.103775,-2.1286375,4.43823429258921,0.00218096456970437,0.998051763621381,-3.51922127528501,""
"A_23_P115780",0.4161,-0.44499,4.42065088476443,0.00223261003004277,0.998051763621381,-3.5226553482839,"LRIT1"
"A_33_P3245660",1.03813275,0.462003625,4.38816334992388,0.00233155045916838,0.998051763621381,-3.52905969255626,""
"A_33_P3369213",0.530758,-0.1686885,4.3753366715775,0.00237191258048499,0.998051763621381,-3.5316096521347,"LOC399744"
"A_33_P3289248",0.507,0.6074525,4.37359044097283,0.0023774657432298,0.998051763621381,-3.53195774734622,""
"A_33_P3296587",0.640950000000001,-5.34955,4.36744852545864,0.00239710963204609,0.998051763621381,-3.53318388094778,"CP"
"A_33_P3383471",0.7511285,0.46965575,4.3491427961502,0.00245670677106169,0.998051763621381,-3.53685498656587,"PPP1R1A"
"A_33_P3225705",1.546615,-0.0044275,4.33514022192604,0.00250337630589847,0.998051763621381,-3.53968004082108,"C9orf102"
"A_23_P34209",1.05286,0.2264375,4.33506414623725,0.00250363246508385,0.998051763621381,-3.53969542949101,"TTTY5"
"A_23_P376188",0.558125000000001,-3.1018125,4.33432041117065,0.00250613823580452,0.998051763621381,-3.53984589592837,"BEND7"
"A_32_P96807",0.46204,0.76192,4.33262456882974,0.00251186196994741,0.998051763621381,-3.54018914060666,"RC3H1"
"A_33_P3367565",0.32485,1.78245,4.32909673651103,0.00252381431379499,0.998051763621381,-3.54090388045313,"FNBP1"
"A_24_P63136",-1.434455,1.1613625,-4.32697968087076,0.0025310164516156,0.998051763621381,-3.5413332467825,"P2RY13"
"A_23_P96611",0.6839675,0.13726375,4.32146235330392,0.00254989084228651,0.998051763621381,-3.54245382133141,"LUZP4"
"A_23_P106194",1.009,-5.172775,4.32146053078856,0.00254989710207683,0.998051763621381,-3.54245419186583,"FOS"
