"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P70670",-2.851934,0.688273,-9.97217435355086,1.44204520432606e-06,0.0205386650296756,4.79365798149533,"CD83"
"A_23_P343398",-3.22478,5.01167,-9.83279413755007,1.64329039722171e-06,0.0205386650296756,4.70648908775878,"CCR7"
"A_23_P119478",-4.405842,1.590499,-9.36802284112431,2.56928943228869e-06,0.0214081759796402,4.40197488537086,"EBI3"
"A_23_P340848",-3.96628,2.4974,-9.01907531199929,3.63703826801204e-06,0.0227287613963742,4.15857163901284,"PTGIR"
"A_23_P106002",-1.22522,2.14129,-8.73185265142444,4.88115763330779e-06,0.024402859471959,3.9481127668868,"NFKBIA"
"A_33_P3531373",1.12876,-1.75074,8.36167129256707,7.213718620797e-06,0.0289756743769598,3.662631598016,"LOC340340"
"A_23_P45389",-1.41058,1.98953,-8.14153598255639,9.15801819777976e-06,0.0289756743769598,3.48489260565939,"RAB9A"
"A_23_P74097",-1.233564,0.999498,-8.07161156370278,9.88937022351776e-06,0.0289756743769598,3.42714621514738,"TCEB3"
"A_24_P122403",-1.087868,0.876506,-8.02322075068227,1.04324946750665e-05,0.0289756743769598,3.38681276808067,"TCEB3"
"A_33_P3421913",-1.619524,-1.658758,-7.80182364581735,1.33653347463476e-05,0.0334093272654452,3.19834648619222,"CADM1"
"A_24_P79070",-3.161006,2.762677,-7.69485336465427,1.50930609041347e-05,0.0342982948564231,3.10492867770865,"GNG8"
"A_23_P139500",-2.41438,-3.60719,-7.61706605680133,1.65010056113711e-05,0.0343729697722869,3.03601145307276,"BHLHE41"
"A_23_P420431",1.2572,-3.11864,7.28651418040383,2.42869470519738e-05,0.0442580322640694,2.73365954091214,"XKR3"
"A_33_P3395008",-2.79022,1.76991,-7.25037331685352,2.5354438075891e-05,0.0442580322640694,2.69964944755096,"ACOXL"
"A_23_P119337",-1.007386,0.796187,-7.17886955536463,2.76190255889204e-05,0.0442580322640694,2.63179650392397,"ATF5"
"A_33_P3338300",-1.12976,2.37748,-7.15776506407789,2.83285400738133e-05,0.0442580322640694,2.61162526242461,"CASZ1"
"A_23_P356616",-2.15693,2.324555,-7.02399471547302,3.33103881222209e-05,0.0482850262409288,2.48222462262291,"ABTB2"
"A_23_P360964",-3.02363,-0.518285,-6.94381979957636,3.67444853992068e-05,0.0482850262409288,2.40337520306004,"DACT3"
"A_24_P226355",-0.724698,1.307811,-6.93568579627443,3.71136928468857e-05,0.0482850262409288,2.39532096888664,"RANBP9"
"A_23_P50349",-0.758996,-1.338702,-6.90311704531532,3.86326569115724e-05,0.0482850262409288,2.36297011437618,"TRIP10"
"A_23_P88069",-2.43214,-3.15599,-6.79406756657513,4.42275380507265e-05,0.0526455127930481,2.25346002360134,"LHFP"
"A_23_P1602",-2.0520806,-1.1391397,-6.73670110822867,4.75168890811866e-05,0.0539899852892009,2.19510921544542,"CDC42EP2"
"A_24_P305938",-1.41436,2.15496,-6.60477277050031,5.61273010198503e-05,0.0610006149388347,2.05895166890309,"RAB9BP1"
"A_23_P416434",-0.7994,2.2184,-6.53357242207498,6.1461655827325e-05,0.0636720475099574,1.98431853467404,"PHF15"
"A_23_P47614",-1.3419,-4.77813,-6.49743446940062,6.4376076759391e-05,0.0636720475099574,1.94612681917709,"PHLDA2"
"A_23_P213385",-2.08365566,-0.52119217,-6.47538902929497,6.62268766355519e-05,0.0636720475099574,1.92272501204697,"BASP1"
"A_33_P3219279",-4.338962,-0.0925390000000001,-6.33758221520557,7.91773498666872e-05,0.0687946528969197,1.77464895980278,"JPH4"
"A_23_P30363",-1.8381734,-1.5778533,-6.29824259267276,8.33567717685184e-05,0.0687946528969197,1.73180722974197,"P4HA2"
"A_32_P86763",-1.57262,-2.64425,-6.23282652462486,9.08415370095346e-05,0.0687946528969197,1.66000183043395,"TGM2"
"A_23_P345065",-0.912984,0.923988,-6.22523718382581,9.17556511281069e-05,0.0687946528969197,1.65162529788751,"SCLY"
"A_33_P3413741",-2.09048,-2.44332,-6.21539360942569,9.29560530544404e-05,0.0687946528969197,1.64074645240402,"OXTR"
"A_23_P37983",-2.2512374,-1.2920813,-6.19757219458909,9.51725392142722e-05,0.0687946528969197,1.62100969340497,"MT1B"
"A_33_P3272231",-3.985432,1.121204,-6.19311558402051,9.57356597269227e-05,0.0687946528969197,1.61606584150384,"MFSD2A"
"A_23_P71379",1.36328,-3.74354,6.18943831063032,9.62030052171153e-05,0.0687946528969197,1.61198403814754,"PSCA"
"A_23_P30655",-0.70064,1.90192,-6.18848883173992,9.63240729444409e-05,0.0687946528969197,1.61092974251683,"NFKBIE"
"A_23_P92520",-0.684619999999999,1.73029,-6.09248547593555,0.000109453946171169,0.0760005636789087,1.50354951457999,"ANP32C"
"A_23_P40956",-1.00588,2.30924,-6.05462497608548,0.000115150244425797,0.0777948827003148,1.46077659093827,"GHRL"
"A_23_P126836",-3.459834,2.579483,-5.98601591599331,0.000126301020008199,0.081336950593938,1.38264809323045,"TNFSF4"
"A_33_P3278540",-0.76638,0.006004,-5.95889389422266,0.000131024314644151,0.081336950593938,1.35154264662335,"MRPL14"
"A_23_P427703",-2.21078832,-1.24790584,-5.95055720242083,0.000132514001030301,0.081336950593938,1.34195639047884,"MT1L"
"A_23_P131435",-1.2803182,-0.7290429,-5.94559896935806,0.000133408608007019,0.081336950593938,1.33624936670609,"CD302"
"A_33_P3402035",-1.5379064,1.4887668,-5.91866552031502,0.000138382841281374,0.0813374984331394,1.30517520087656,"TRAF4"
"A_33_P3231156",-1.60699638,-0.65685581,-5.89506387141903,0.000142905615392722,0.0813374984331394,1.27784322249001,""
"A_23_P368794",-2.526718,1.921581,-5.86610444929638,0.000148673044193925,0.0813374984331394,1.24417642449284,"TCERG1L"
"A_33_P3241984",0.82194,5.34919,5.86547678978716,0.000148800779355911,0.0813374984331394,1.24344514750693,"PTPN22"
"A_23_P204801",-2.3469384,-0.1739152,-5.86117722380855,0.000149678958592008,0.0813374984331394,1.23843396915642,"SLC41A2"
"A_33_P3315314",-1.6919592,-1.0271604,-5.81929738128714,0.000158529736242788,0.0831211935769827,1.18945667173518,"MT1H"
"A_23_P71037",-3.1703478,0.2635279,-5.81434992459324,0.000159611845089218,0.0831211935769827,1.18365085003111,"IL6"
"A_24_P396702",-1.163292,-1.234014,-5.74506884040203,0.000175626749654874,0.0895947318596508,1.1019066382963,"CD302"
"A_32_P143048",-1.449428,-0.573136,-5.6997533618184,0.000187028604220723,0.0931219021915524,1.04799065091182,"ZFYVE9"
"A_23_P334173",-1.68766,4.43353,-5.68846190091133,0.000189991479448301,0.0931219021915524,1.03450080465268,"LY75"
"A_23_P26336",-0.676186,0.594471,-5.67387043862286,0.000193895000248451,0.0932075638694333,1.01703571065777,"ZC3H7A"
"A_33_P3296940",-1.1600034,0.6277403,-5.63860668423521,0.000203688116202589,0.0960677705795495,0.974674494131025,"FNDC3B"
"A_24_P31235",-0.663412,-0.629504,-5.54703061808822,0.000231680719657879,0.107145661617869,0.863656163676294,"EIF5A"
"A_24_P322444",-0.509512,0.580918,-5.53471582063467,0.000235748745408761,0.107145661617869,0.848615251877376,"NUP62"
"A_23_P391764",-0.72298,1.64223,-5.50997502409512,0.000244154475200296,0.108984453867532,0.818317499351189,"RAPGEF1"
"A_23_P206724",-1.7225568,-1.0651416,-5.48784733297219,0.000251944407151033,0.110488672729024,0.791129082557126,"MT1E"
"A_24_P120115",-0.761239999999999,3.3475,-5.44940824971964,0.000266115953054267,0.114172934453656,0.743694973997298,"CFLAR"
"A_24_P210675",-1.11225,1.172895,-5.44060385763489,0.000269480462966184,0.114172934453656,0.732793852532241,"NDE1"
"A_33_P3394933",-1.572377,-0.9920915,-5.41455610403238,0.000279703480785815,0.115169548657265,0.700463351965523,"P4HA2"
"A_24_P411121",-1.68504,3.1955,-5.40367226240484,0.000284097226712291,0.115169548657265,0.686919064367493,"TNFRSF18"
"A_33_P3275707",-1.9520964,-0.5191438,-5.39788496074448,0.000286463527561518,0.115169548657265,0.679708650532336,"AP1S3"
"A_23_P210869",-0.607034,1.130683,-5.38870077904256,0.000290262094067596,0.115169548657265,0.668253989815128,"COX4I2"
"A_33_P3275968",-0.63042,1.54253,-5.35177263238937,0.000306087822086154,0.117499986604729,0.622047129329551,"SEL1L"
"A_33_P3344482",-2.03091,-1.596945,-5.34046278025466,0.000311117251354229,0.117499986604729,0.607847611356874,"FERMT2"
"A_33_P3350056",-1.5883278,-0.9863361,-5.33476279295198,0.000313685404121444,0.117499986604729,0.60068276151925,"MT1X"
"A_23_P128919",-1.800576,-1.295532,-5.33200126837454,0.000314937756631469,0.117499986604729,0.59720948899631,"LGALS3"
"A_23_P218988",-0.4711848,-0.2905676,-5.30998458019084,0.00032511546819121,0.117707524288634,0.569470348356209,"SLC30A5"
"A_23_P89343",-1.047288,1.429396,-5.30854147539813,0.000325794733742988,0.117707524288634,0.567649185178769,"SNX11"
"A_23_P424513",-0.65526,0.65625,-5.30019875221109,0.000329751460292999,0.117707524288634,0.557113696787207,"RANBP9"
"A_33_P3368139",-0.76076,1.73442,-5.28374805121098,0.000337704753988348,0.117707524288634,0.536303318808725,"MAP3K1"
"A_33_P3262575",-2.3082,-4.7277,-5.28103015742725,0.000339038354553811,0.117707524288634,0.53286056426895,"BAIAP2L1"
"A_23_P42718",-1.0553976,0.3804672,-5.25964504088934,0.000349729754124592,0.11975609128565,0.50572674125991,"NFE2L3"
"A_23_P106844",-2.4844668,-1.2272746,-5.24486637312507,0.000357328291679236,0.120116592564625,0.486928318906679,"MT2A"
"A_23_P54840",-1.3536606,-0.8436317,-5.23900036020844,0.000360393024856857,0.120116592564625,0.479456121684358,"MT1A"
"A_32_P53524",-0.9872,-2.38424,-5.21181264053939,0.000374968313489881,0.123212032052435,0.444745080825442,"NTN1"
"A_33_P3271111",-1.527418,0.566211,-5.20351927906415,0.000379538603353902,0.123212032052435,0.434130933225184,"NINJ1"
"A_23_P168211",-0.79834,0.621602,-5.15832145330211,0.000405513199161575,0.129953319587612,0.376072606485055,"VOPP1"
"A_23_P210886",-1.353426,1.056267,-5.13346000473356,0.000420603420582691,0.129953319587612,0.343984082547439,"BCL2L1"
"A_23_P384329",-1.30746,2.68059,-5.12775917614313,0.000424147362403721,0.129953319587612,0.336610752859885,"DENND4A"
"A_33_P3358626",-1.536496,-1.751632,-5.12601429167749,0.000425238429207664,0.129953319587612,0.334352815657631,"TAF4B"
"A_23_P63908",-0.5490608,-0.1021396,-5.11703406450109,0.000430901240948592,0.129953319587612,0.322723652220211,"TRUB1"
"A_23_P321388",-1.69068,2.46726,-5.11532252103511,0.000431989609220413,0.129953319587612,0.320505640609698,"RNF19B"
"A_23_P1782",-0.8444,3.05264,-5.10797458413776,0.000436695557281249,0.129953319587612,0.31097750847472,"CD82"
"A_23_P114903",-1.3847744,0.4753108,-5.08129466145439,0.000454247268784046,0.133586105621115,0.276301741725969,"HSPA6"
"A_24_P223124",-0.860464,-1.610128,-5.04910777896511,0.0004764279672039,0.138067267636034,0.234302395023922,"FNDC3B"
"A_23_P30435",-0.54866,2.35037,-5.03674459833908,0.000485251948539455,0.138067267636034,0.218121903972277,"TNIP1"
"A_24_P114255",0.864342,1.178529,5.03563120904123,0.000486055108691884,0.138067267636034,0.216663424983431,"MBOAT2"
"A_33_P3315949",-0.90370726,-0.34234037,-5.00138693961049,0.000511462132402032,0.14365189801858,0.171699281897109,"CCDC103"
"A_23_P434919",0.45966,-3.23181,4.97922770178923,0.000528653698847925,0.146142383489819,0.142493922737779,"RAB42"
"A_24_P349039",-1.13328,3.6658,-4.96847075373484,0.000537219943761948,0.146142383489819,0.128285564071748,"ARHGAP31"
"A_24_P398130",-1.511,-2.64198,-4.96154711408977,0.000542811598717653,0.146142383489819,0.11912975229857,"USP6NL"
"A_33_P3835524",-0.9166,2.08848,-4.9604357464923,0.000543714912371609,0.146142383489819,0.117659301405334,"POU2F2"
"A_23_P109636",-1.055766,0.543783,-4.95217538385685,0.000550479223650293,0.146212098650493,0.106723253485989,"LRIG1"
"A_33_P3315906",-1.7933858,0.9229151,-4.945906285016,0.000555672655590546,0.146212098650493,0.0984155262232695,"PTP4A3"
"A_33_P3267233",-0.80492,0.9493,-4.91477524796222,0.000582245624663439,0.151608269580333,0.0570595426589096,""
"A_33_P3215605",-0.6677848,0.0309384,-4.90512615159251,0.000590753796577283,0.152237862402498,0.0442069269593031,""
"A_23_P16722",-0.833459999999999,4.81219,-4.89114998130494,0.000603312614009009,0.153887810330441,0.0255619009223329,"DOCK10"
"A_23_P156788",-1.12504,3.16552,-4.86797820957165,0.000624764014349836,0.156841792837262,-0.00542543846468124,"STX11"
"A_33_P3306163",-0.9594198,-0.7029781,-4.86293577144055,0.000629538618825164,0.156841792837262,-0.0121809903503713,"LGALS3"
"A_23_P202156",-0.73836,2.85786,-4.85855635369337,0.00063371688908923,0.156841792837262,-0.0180518493950297,"NFKB2"
"A_23_P209394",-1.00936,1.02128,-4.8316676018777,0.000660025130647167,0.160602502888152,-0.0541706653692771,"CFLAR"
"A_24_P398092",-0.493312,0.766516,-4.82993293542309,0.000661761723305984,0.160602502888152,-0.0565050906056568,"RAD23B"
"A_23_P41246",-0.50512,1.26548,-4.81792372786036,0.000673918185872085,0.16116491449021,-0.0726807529791147,"MFSD10"
"A_24_P62659",-2.470628,3.246326,-4.81494122950273,0.000676973877724209,0.16116491449021,-0.0767018627674725,"TSPAN2"
"A_23_P216693",0.838072,1.462304,4.80141878429861,0.000691013946553205,0.162955430396137,-0.0949525954105628,"MLLT3"
"A_23_P308305",-0.682926,1.356897,-4.78062535922566,0.000713209907771275,0.164127380629154,-0.123078310862879,"TTC39C"
"A_23_P15654",-1.337778,0.618611,-4.77719526402657,0.000716943520665482,0.164127380629154,-0.127725111690882,"TRAF4"
"A_23_P352266",-1.309126,1.867577,-4.77010012310119,0.000724732493627178,0.164127380629154,-0.137343439441726,"BCL2"
"A_23_P138680",-0.63906,2.27961,-4.76181226486812,0.000733944714088871,0.164127380629154,-0.148589620432234,"IL15RA"
"A_24_P226755",-0.501599999999998,3.18648,-4.75193889803962,0.0007450817735464,0.164127380629154,-0.162002681710494,"TOX"
"A_23_P255328",-0.529546,1.357507,-4.74957282280146,0.00074777723282322,0.164127380629154,-0.165219507341241,"PRDM8"
"A_23_P58390",-0.91352,0.736074,-4.74372185673877,0.000754487249796801,0.164127380629154,-0.173178389349702,"C4orf32"
"A_24_P85619",-1.05356,3.40626,-4.7436768346382,0.00075453912915757,0.164127380629154,-0.173239654279354,""
"A_23_P202683",-1.039028,1.360526,-4.74252167589103,0.000755871524017427,0.164127380629154,-0.174811684013684,"CDHR5"
"A_33_P3362409",-0.695868,0.927966,-4.73754323001237,0.000761642443212458,0.164127380629154,-0.181589362095654,"LOC100499484"
"A_23_P163361",-1.378126,-1.633617,-4.71623457955358,0.000786876464133186,0.167071936461016,-0.210647108936467,"RLBP1"
"A_23_P30275",0.806846,1.549737,4.7147442711617,0.000788674180997714,0.167071936461016,-0.212682294503739,"PCYOX1L"
"A_23_P420417",-0.7424776,-0.7378192,-4.69697350383423,0.000810449409150831,0.170242049416331,-0.236979590634478,"TLCD1"
"A_23_P29036",-0.756317,-0.4217795,-4.6895329657609,0.000819755143458018,0.170761827675167,-0.247168793436656,"IFNGR2"
"A_33_P3415052",-1.325788,0.1739,-4.65144709100206,0.000869195264486574,0.177865819630458,-0.299472122695016,"NIPAL4"
"A_24_P179903",-0.76558,-2.70991,-4.64584099771317,0.000876735443475733,0.177865819630458,-0.307191814642077,"AK2"
"A_23_P429092",-0.96574,2.40841,-4.64191419137288,0.000882058246433124,0.177865819630458,-0.312602277200043,"HBS1L"
"A_33_P3467126",-0.472404,0.990198,-4.64172148265079,0.000882320343808331,0.177865819630458,-0.312867864007679,"GTPBP10"
"A_23_P314222",-0.709102,0.738523,-4.63242297182727,0.000895065537825505,0.178991625992193,-0.325690349073913,"LEO1"
"A_23_P112774",-1.4640652,0.8973374,-4.62289199829014,0.000908331986501167,0.180202973544204,-0.338848608856598,"PTP4A3"
"A_24_P192627",0.98636,2.98174,4.60993781728357,0.000926698193938056,0.182399013809997,-0.356757531115606,"MLLT3"
"A_33_P3314511",-0.49662,0.626382,-4.59032745452902,0.000955253542755034,0.186448511924084,-0.383922451703455,"SNRPD3"
"A_33_P3272442",-1.060182,-0.795145,-4.58565767444088,0.000962189784302389,0.186448511924084,-0.390400745840776,"LOC100129195"
"A_23_P118536",-0.96104,2.2196,-4.56883790081828,0.000987618169073367,0.188474227587861,-0.413764903590968,"SLFN12"
"A_33_P3270109",-0.731846,0.998997,-4.56868313481186,0.000987855422690207,0.188474227587861,-0.413980108131694,"LEO1"
"A_33_P3807268",-0.481552,-0.623056,-4.56387046189437,0.000995263353266299,0.188474227587861,-0.420674212008683,"DNAJA1P5"
"A_32_P124708",-1.4997754,-0.4605643,-4.54557291636874,0.00102396905480338,0.191741429473188,-0.446160326409948,"ONECUT2"
"A_33_P3398932",-0.733092,1.420374,-4.54167717068914,0.00103019317346336,0.191741429473188,-0.451593836234163,"MBD1"
"A_23_P128166",-0.54216,1.69212,-4.53835782184324,0.00103552798251311,0.191741429473188,-0.456225431311434,"RAB21"
"A_24_P9671",-0.472316,-0.843952,-4.52884458196307,0.00105098006612426,0.19317168171256,-0.469509762346399,"DNAJA1"
"A_33_P3313456",-0.4902048,0.0921516,-4.51941936870752,0.00106652989209901,0.194598888414592,-0.482686066315065,"CXorf30"
"A_33_P3274084",-2.082672,-0.771944,-4.49063244025656,0.00111554770321578,0.202009492981428,-0.523021281622784,"RHBDL3"
"A_24_P171058",-0.97398,2.37881,-4.48407256171788,0.00112704752234664,0.202009492981428,-0.532231990993751,"TMEM64"
"A_33_P3260623",-0.7825694,-0.0816153,-4.4816144587232,0.00113138892736728,0.202009492981428,-0.53568524269062,"PLCB3"
"A_23_P53891",-1.259916,1.434582,-4.47349687676373,0.00114585189509218,0.202561751775052,-0.547096280673522,"KLF5"
"A_23_P20022",-1.23316,-2.28792,-4.46267045643865,0.00116544594341503,0.202561751775052,-0.562332123294076,"HILPDA"
"A_33_P3404701",-0.908156,1.218902,-4.46098605715477,0.00116852612048252,0.202561751775052,-0.564704288798239,"SEL1L"
"A_33_P3419234",-0.643336,-0.320104,-4.45913694881813,0.0011719173999622,0.202561751775052,-0.567308955034784,"DCAF4"
"A_24_P16610",-0.7301252,-0.2097354,-4.45411328740374,0.0011811834461104,0.202561751775052,-0.57438816135164,"ZNRF1"
"A_24_P207150",-0.636924,1.161198,-4.45307800699447,0.00118310260267862,0.202561751775052,-0.57584756655225,"UBE3A"
"A_33_P3286157",-1.15274,4.56117,-4.4396333734639,0.00120832703828524,0.205473135891267,-0.594816086633788,"TNFRSF4"
"A_24_P252780",-0.829821,0.6456875,-4.42261449945692,0.00124107471591453,0.20961584238997,-0.618869897454279,"NHLRC2"
"A_24_P255114",-0.50595,0.790877,-4.41102272304584,0.00126391527634275,0.212040873575434,-0.635280388244016,""
"A_23_P49842",-0.91744,2.18432,-4.40499779680565,0.00127596175371327,0.21263477305047,-0.643818543445459,"UNC119"
"A_24_P353619",1.584518,-1.147301,4.39488850360821,0.00129644778415856,0.214617915633189,-0.658158094262138,"ALPL"
"A_23_P11685",-0.865814,1.514873,-4.38289866646762,0.00132119559337069,0.216016783393123,-0.675186638426309,"PLA2G4A"
"A_33_P3249489",-0.628338,0.734257,-4.38242599447148,0.00132218137613105,0.216016783393123,-0.675858427832433,"WDR89"
"A_23_P157449",-0.5723798,-0.4503681,-4.36975965343081,0.00134888886053167,0.2189491873163,-0.693874056048571,"POLR2K"
"A_24_P137376",-0.550094,0.746119,-4.34876538525551,0.00139441716739905,0.222693293493711,-0.723791752668394,"ATP2C1"
"A_23_P31073",-1.662904,1.074828,-4.34641098496642,0.00139962309617277,0.222693293493711,-0.727151296461261,"MYB"
"A_33_P3390441",-0.475201,0.0596495,-4.34432281764748,0.00140425749722661,0.222693293493711,-0.730131692219045,"KPNB1"
"A_23_P109034",-1.1785,-1.96959,-4.34201944880509,0.0014093882851454,0.222693293493711,-0.733420052801729,"SDC4"
"A_23_P7896",-0.561374,0.507403,-4.33215075925958,0.00143159576606054,0.222693293493711,-0.747518534959444,"DUSP22"
"A_33_P3315679",1.00424,-8.62556,4.33131973400701,0.00143348258792399,0.222693293493711,-0.748706456214576,"MLANA"
"A_24_P371628",0.77953,1.058755,4.32766598300852,0.00144180949721936,0.222693293493711,-0.753930675700499,"ANKH"
"A_24_P219114",-1.427038,2.028001,-4.32704677123971,0.00144322572892672,0.222693293493711,-0.75481625098089,"SEL1L"
"A_33_P3384835",-0.912332,1.741754,-4.31319216869762,0.00147529981948711,0.22444673450041,-0.774646642216149,"LOC100505719"
"A_33_P3210667",-0.6145092,0.2492054,-4.30852764866928,0.0014862667701948,0.22444673450041,-0.781329958745176,"SNAP91"
"A_32_P90483",-0.8054718,-0.7264801,-4.30811532798435,0.0014872403195323,0.22444673450041,-0.781920897787235,"STXBP4"
"A_23_P18798",1.0176,-3.32766,4.30672316232029,0.00149053239458004,0.22444673450041,-0.783916353000243,"PCDHB9"
"A_23_P86330",-0.7488,1.55104,-4.30295394395139,0.00149948412455769,0.22444673450041,-0.789320494582992,"IER5"
"A_33_P3358342",-0.8967104,0.4133288,-4.29913240611708,0.00150861797249337,0.224469782490576,-0.794801954680628,"SIAH2"
"A_23_P251695",-0.64342592,-0.21709904,-4.29352704158486,0.00152212155091215,0.225138889989059,-0.802846258078814,"NXT1"
"A_23_P49759",-4.6434422,1.6287651,-4.28480993334591,0.00154337507201032,0.22679224884815,-0.81536614303373,"CCL1"
"A_23_P121064",0.54898,-6.26463,4.27913839778304,0.00155737076751378,0.22679224884815,-0.823518300566993,"PTX3"
"A_23_P304897",-2.39378,-1.74497,-4.27787045236559,0.00156051793422738,0.22679224884815,-0.825341516197039,"BDKRB2"
"A_33_P3278941",0.488556,1.104702,4.26588675304987,0.00159059564470741,0.229827279368504,-0.842585746986959,"REC8"
"A_23_P208009",-0.620144,1.189288,-4.26157134901278,0.00160157581035267,0.230083853628654,-0.848801037313073,"SEC11C"
"A_33_P3311083",1.1937972,-1.3741014,4.25688170755441,0.00161359874535294,0.230486444786213,-0.855558643102142,"PHLDB3"
"A_33_P3324904",0.574859999999999,2.93907,4.24589701600369,0.00164213396245813,0.232136174806543,-0.871400690598559,""
"A_33_P3832872",-1.393596,-0.522622,-4.24451532372082,0.00164576065776578,0.232136174806543,-0.873394695242316,"LOC389247"
"A_23_P158925",-1.65722,-2.58965,-4.24005128894063,0.00165753569045338,0.232136174806543,-0.879839056074532,"GPR125"
"A_33_P3222947",0.974264,-1.062348,4.2382566444888,0.00166229448695329,0.232136174806543,-0.882430714108036,"TMEM114"
"A_24_P83379",1.430608,-1.706096,4.23409285200503,0.00167339094577837,0.232387519286789,-0.888445609859514,"WDFY3"
"A_23_P352717",0.986106,-0.506971,4.22052989191108,0.00171007983258752,0.236170528039725,-0.908056991855928,"TMEM31"
"A_33_P3395196",-0.486438,0.733755,-4.21605336805612,0.00172237419936675,0.236423757892495,-0.914536100458106,""
"A_23_P503010",-0.540134,0.964673,-4.21299412348998,0.00173082960732594,0.236423757892495,-0.918965692884122,"SLC24A4"
"A_24_P175176",0.459519999999999,3.3083,4.20867369693181,0.0017428452426025,0.236771209398558,-0.925223864972165,"PHTF2"
"A_24_P902052",-0.62884,-1.67842,-4.19499530372675,0.00178146862121976,0.240710114187191,-0.945056140641758,"SNHG13"
"A_33_P3282434",-0.822886,-1.697337,-4.18405233064579,0.00181301594039764,0.243329574972721,-0.960943080796222,"SLC16A1"
"A_24_P38572",-0.704192,0.073548,-4.18154603029557,0.00182032365963511,0.243329574972721,-0.964584299703054,"NOL6"
"A_23_P136232",-0.366044,0.788682,-4.17733170298183,0.00183268144852383,0.243678394514628,-0.970709155030965,"IMPAD1"
"A_23_P128974",-1.11566,6.94631,-4.17127179080063,0.00185060592362892,0.244759768639958,-0.979521038282093,"BATF"
"A_24_P923251",-2.0771258,-1.7355971,-4.16607992935387,0.00186610939854741,0.24492187284659,-0.987075126981805,"TGM2"
"A_33_P3407103",-0.576664,1.038868,-4.1643093615528,0.00187142767986953,0.24492187284659,-0.989652219478837,"YTHDF1"
"A_23_P413760",-1.0339,2.35321,-4.14553377421451,0.00192881438804097,0.251117569051355,-1.01700974850994,"P2RX5"
